;bond_length_average;bond_length_variance;bond_length_variance_variance;k_values;length_values
112;1.24214390476;0.000840094897297;2.20398007028e-10;760.0;1.24
113;0.794741170576;0.00114134721373;3.98053862548e-10;560.0;0.79
114;1.11177169163;0.000933726323208;5.50697607754e-10;680.0;1.11
115;1.21176735191;0.000916250749383;2.99771634302e-10;680.0;1.21
116;1.39212005967;0.00103594045914;4.22640939175e-10;620.0;1.39
117;1.2418669682;0.00103127532998;3.20768742864e-10;600.0;1.24
118;1.09222449878;0.000869279503532;6.743836203e-10;680.0;1.09
119;0.932135484001;0.000641010731855;1.32268667407e-10;980.0;0.93
120;1.24146891853;0.00123975954515;4.42848520604e-10;480.0;1.24
121;1.25406650487;0.00159370570874;8.25390151428e-10;380.0;1.25
122;1.09205028132;0.000915557835871;2.7575665897e-10;680.0;1.09
123;1.1521339384;0.000903517336924;2.28098903046e-10;680.0;1.15
124;1.31291830343;0.000979511492488;3.71854861292e-10;620.0;1.31
125;1.24165300859;0.000999283849275;3.29452584363e-10;620.0;1.24
126;1.39221458177;0.000981035279644;3.24856560673e-10;660.0;1.39
127;0.794831191791;0.00124909031002;5.67386217275e-10;480.0;0.79
128;0.894429595676;0.00127471167998;5.09748563573e-10;480.0;0.89
129;1.39192536558;0.000692829166397;1.54279075786e-10;900.0;1.39
130;1.17194131404;0.000905796186916;2.94169063569e-10;680.0;1.17
131;0.793702376827;0.000818295537995;1.88887562768e-10;740.0;0.79
132;1.29346252566;0.00161400970734;8.60139800634e-10;380.0;1.29
133;0.956133663013;0.00159931231897;6.62191646973e-10;380.0;0.95
134;0.855448931689;0.00159834168754;8.96571729095e-10;380.0;0.85
135;0.942267890166;0.000739256857126;1.51758427881e-10;840.0;0.94
136;1.13310211816;0.00161434800079;7.95527190277e-10;380.0;1.13
137;0.942682627781;0.000703532023872;1.72447695448e-10;900.0;0.94
138;0.953417379488;0.00111539070653;4.20274803361e-10;540.0;0.95
139;1.39191808116;0.00123428590114;5.32636843981e-10;500.0;1.39
140;1.3710348501;0.00064405058371;1.1542702227e-10;980.0;1.37
141;0.972611414865;0.00107827093972;3.16451978936e-10;580.0;0.97
142;1.24151054691;0.000733876820311;1.65938584757e-10;840.0;1.24
143;1.05191432768;0.000659436528227;1.37153838447e-10;980.0;1.05
144;1.39111628999;0.00077331767733;1.98854440292e-10;840.0;1.39
145;0.992507198589;0.000705144619851;1.47978632447e-10;880.0;0.99
146;1.33190151258;0.000919350643316;2.10166241112e-10;680.0;1.33
147;1.09182642182;0.000683445438933;1.39139113245e-10;920.0;1.09
148;1.2917993396;0.00103964664343;3.70466029229e-10;600.0;1.29
149;1.37171173371;0.00090894151781;3.10642422844e-10;680.0;1.37
150;1.39131013974;0.00077586087387;2.29395478462e-10;820.0;1.39
151;1.0542364849;0.00165763213866;7.89728808106e-10;380.0;1.05
