	InChI_keys	SMILES_strings	Molecular_formulas	AlkEthOH_ID
416	ZSIAUFGUXNUGDI-UHFFFAOYSA-N	CCCCCCO	C6H14O	AlkEthOH_c1134
417	SJDVQCLMSKEHSP-SSDOTTSWSA-N	CCO[C@](C)(C(C)C)O	C7H16O2	AlkEthOH_c1173
418	QNBFXJNGKFWGRY-UHFFFAOYSA-N	CC1(OCO1)C	C4H8O2	AlkEthOH_r734
419	HDGQICNBXPAKLR-MRVPVSSYSA-N	CC[C@@H](C)CC(C)C	C8H18	AlkEthOH_c972
420	OFBQJSOFQDEBGM-UHFFFAOYSA-N	CCCCC	C5H12	AlkEthOH_c1119
421	QKGYFWSDMAEJCG-ZETCQYMHSA-N	C[C@H]1CCOCC1(C)C	C8H16O	AlkEthOH_r1013
422	DJIHTLPELPFCAP-WDSKDSINSA-N	C[C@H]1OCCO[C@@H](O1)C	C6H12O3	AlkEthOH_r1145
423	RDYMRKIPAQMKRR-SSDOTTSWSA-N	C[C@@H]1CCCCOCO1	C7H14O2	AlkEthOH_r952
424	ONAZZYCHIFCOAY-RNFRBKRXSA-N	C[C@H](C[C@H](CC(C)(C)O)O)O	C8H18O3	AlkEthOH_c679
425	CXKLSZLZOLVPCR-JGVFFNPUSA-N	C[C@H]1COCCCO[C@H](O1)C	C8H16O3	AlkEthOH_r1086
426	FEWXVAFETZJAGQ-ZETCQYMHSA-N	C[C@H]1CCOCOC1(C)C	C8H16O2	AlkEthOH_r1044
427	CIVZBWYMPDUPSQ-QMMMGPOBSA-N	C[C@@H](CC(C)(C)O)C(C)C	C9H20O	AlkEthOH_c320
428	GUHWHNUGIGOSCN-SFYZADRCSA-N	CCC[C@@H](C)C[C@H](C)O	C8H18O	AlkEthOH_c1082
429	PKPNDPASOKTTIU-QMMMGPOBSA-N	CC1(OCCCCC[C@H](O1)O)C	C9H18O3	AlkEthOH_r694
430	UAJHYIMLGXFOFZ-MRVPVSSYSA-N	CC1(CCCCCO[C@H]1O)C	C9H18O2	AlkEthOH_r405
431	PXDUHAORQSWZDQ-MRVPVSSYSA-N	C[C@@H]1COCCCCCO1	C8H16O2	AlkEthOH_r1079
432	PDMAJFCAGVQTSM-ZCFIWIBFSA-N	C[C@H](CCCOC)O	C6H14O2	AlkEthOH_c718
433	WQVRLMLHUVINCH-MRVPVSSYSA-N	C[C@@]1(CC(CCO1)(C)C)O	C8H16O2	AlkEthOH_r512
434	XPZSPCJEKSEKJY-WDSKDSINSA-N	C[C@H]1C[C@](CO1)(C)O	C6H12O2	AlkEthOH_r800
435	LTTHCWFPLXSQOD-SSDOTTSWSA-N	CCCC(C)(C)[C@@H](C)O	C8H18O	AlkEthOH_c1026
436	UXVHICSOLDFFFK-SNVBAGLBSA-N	C[C@]1(CCOCCC(C1)(C)C)O	C10H20O2	AlkEthOH_r546
437	INMGJWCKWKKMPN-QMMMGPOBSA-N	CC[C@@](C)(CC(C)C)O	C8H18O	AlkEthOH_c944
438	YGOPQVXUSQQGGL-BQBZGAKWSA-N	C[C@]1(CCOCC[C@H](O1)O)O	C7H14O4	AlkEthOH_r554
439	ZCDZPKSMHRVVCG-UHFFFAOYSA-N	CC(C)(CCO)OC(C)(C)O	C8H18O3	AlkEthOH_c220
440	MUQNMRAJHDDYSQ-PHDIDXHHSA-N	C[C@]1(OCCOC[C@@H](O1)O)O	C6H12O5	AlkEthOH_r729
441	LCYKZTXSJRMIFB-UWVGGRQHSA-N	C[C@H]1CCCCCC[C@@H](O1)C	C10H20O	AlkEthOH_r895
442	QGVXFIIZUSICQO-UHFFFAOYSA-N	CC(C)CC(C)(C)C(C)(C)C	C11H24	AlkEthOH_c366
443	ODKHLVRNQLRGFK-JGVFFNPUSA-N	C[C@H]1CCCCO[C@@](O1)(C)O	C8H16O3	AlkEthOH_r930
444	JWGFOMNFSRRUQG-UHNVWZDZSA-N	C[C@H](O)O[C@@H](C)OCO	C5H12O4	AlkEthOH_c866
445	FKSYHIYHOMPKQB-LURJTMIESA-N	CC(C)O[C@@H](CCO)O	C6H14O3	AlkEthOH_c568
446	QWTDNUCVQCZILF-UHFFFAOYSA-N	CCC(C)C	C5H12	AlkEthOH_c961
447	JVSWJIKNEAIKJW-UHFFFAOYSA-N	CCCCCC(C)C	C8H18	AlkEthOH_c1130
448	UETKSUINDYHPNF-OCAPTIKFSA-N	C[C@@H]1CCOCC[C@@H]1C	C8H16O	AlkEthOH_r1027
449	GQCZPFJGIXHZMB-ZCFIWIBFSA-N	C[C@H](COC(C)(C)C)O	C7H16O2	AlkEthOH_c780
450	BEPHMUIBRLLSDY-QMMMGPOBSA-N	C[C@H]1CCCCCOC1	C8H16O	AlkEthOH_r916
451	AUXPCECNAUZLOJ-SNVBAGLBSA-N	C[C@]1(CCCOCC(C1)(C)C)O	C10H20O2	AlkEthOH_r235
452	XRMVWAKMXZNZIL-UHFFFAOYSA-N	CCC(C)(C)CO	C6H14O	AlkEthOH_c929
453	WBESQMVRIKXRFL-YFKPBYRVSA-N	C[C@]1(CCCO1)O	C5H10O2	AlkEthOH_r460
454	WGIJKHYOPRMCOP-SSDOTTSWSA-N	C[C@@H]1COCCC(O1)(C)C	C8H16O2	AlkEthOH_r1061
455	WYQJZACIHYTKGC-RNFRBKRXSA-N	C[C@@H]1CCOC[C@H]1C	C7H14O	AlkEthOH_r1015
456	UJRCLZKWBWUTRC-ZETCQYMHSA-N	CCO[C@@H](C)C(C)C	C7H16O	AlkEthOH_c1225
457	QRYMTQMYKFKNLP-QWWZWVQMSA-N	C[C@@H]1CO[C@H]1O	C4H8O2	AlkEthOH_r1060
458	HSNYMAGGYKJETA-ZCFIWIBFSA-N	C[C@@H]1COCCOCO1	C6H12O3	AlkEthOH_r1104
459	GTMJLDSZRVMSHD-SFYZADRCSA-N	C[C@@H]1CCCOC[C@@H](O1)C	C8H16O2	AlkEthOH_r976
460	CGVKHXUJTDTLPN-SECBINFHSA-N	C[C@]1(OCCCCOC(O1)(C)C)O	C9H18O4	AlkEthOH_r705
461	NUAQDZRFZWOZRA-SFYZADRCSA-N	C[C@@H]1[C@@](CCCCO1)(C)O	C8H16O2	AlkEthOH_r743
462	SENWGKGGJFRNQQ-SSDOTTSWSA-N	C1CCOCC[C@@H](C1)O	C7H14O2	AlkEthOH_r94
463	ZPEJDPAPLKBQAB-SCSAIBSYSA-N	CC1(CO[C@H]1O)C	C5H10O2	AlkEthOH_r607
464	LEDRQLYEKUGEDC-HTQZYQBOSA-N	C[C@@H]1COCCCO[C@@]1(C)O	C8H16O3	AlkEthOH_r1090
465	OBKHYUIZSOIEPG-SSDOTTSWSA-N	C[C@@H]1CCC(C1)(C)C	C8H16	AlkEthOH_r837
466	JNNFLYYEQBQGAT-RITPCOANSA-N	C[C@@H]1CCOCO[C@@H](O1)O	C6H12O4	AlkEthOH_r1042
467	MPDIUOXGUVOGOG-YUMQZZPRSA-N	C[C@H]1[C@@H](OCCCCO1)C	C8H16O2	AlkEthOH_r765
468	VSCOUXFQRGXFBO-QWWZWVQMSA-N	C[C@@H]1OC[C@@H](O1)O	C4H8O3	AlkEthOH_r1114
469	PBRXBZOLGIMNPG-VIFPVBQESA-N	C[C@]1(CC(CCCO1)(C)C)O	C9H18O2	AlkEthOH_r462
470	QGFMKANITOYJSA-MRVPVSSYSA-N	C[C@@](CCO)(C(C)(C)C)O	C8H18O2	AlkEthOH_c146
471	VEALHWXMCIRWGC-PHDIDXHHSA-N	C[C@@H]1CC[C@H](C1)O	C6H12O	AlkEthOH_r840
472	JYVLIDXNZAXMDK-RXMQYKEDSA-N	CCC[C@@H](C)O	C5H12O	AlkEthOH_c1088
473	CNJGKWBVVBYRJS-UHFFFAOYSA-N	CC(C)(CCO)CC(C)(C)O	C9H20O2	AlkEthOH_c212
474	LBFXVBIZSFTQDG-YUMQZZPRSA-N	C[C@H]1CCCOC[C@]1(C)O	C8H16O2	AlkEthOH_r980
475	LHDRDIMHFWOWHE-ZCFIWIBFSA-N	CCO[C@@H](O)OC(C)(C)C	C7H16O3	AlkEthOH_c1258
476	VOCGQARMIGRCFL-UHFFFAOYSA-N	CC(C)OC(C)(C)C(C)(C)C	C10H22O	AlkEthOH_c501
477	FGXHDUKSWKYYDH-HTQZYQBOSA-N	C[C@@H]1OCCCCO[C@H](O1)C	C8H16O3	AlkEthOH_r1133
478	KMFGBHPDZPIYCR-JTQLQIEISA-N	C[C@]1(COCCCCC(O1)(C)C)O	C10H20O3	AlkEthOH_r438
479	ZYVYEJXMYBUCMN-UHFFFAOYSA-N	CC(C)COC	C5H12O	AlkEthOH_c472
480	CVZBNRSGTBIHPO-PHDIDXHHSA-N	C[C@]1(CCC[C@H]1O)O	C6H12O2	AlkEthOH_r326
481	JFXBQZVKFURCFQ-RXMQYKEDSA-N	C1COCCO[C@H]1O	C5H10O3	AlkEthOH_r152
482	PGTMYXAQLPHCAL-ZCFIWIBFSA-N	C1CCOC[C@@H](C1)O	C6H12O2	AlkEthOH_r88
483	DTMSZIVVBLZFEV-UHFFFAOYSA-N	CC(C)CC(C)(C)CC(C)C	C11H24	AlkEthOH_c375
484	GPANTFCPEKPASR-LURJTMIESA-N	C[C@H]1CCOC1(C)C	C7H14O	AlkEthOH_r1000
485	UGIAFTUBZIUGIV-ZETCQYMHSA-N	C[C@@H](CC(C)(C)C)OCO	C8H18O2	AlkEthOH_c614
486	CIPFOSRMMVMZPR-UHNVWZDZSA-N	C[C@@H]1CO[C@H]1C	C5H10O	AlkEthOH_r1059
487	WSXCKMITTAKOSX-BQBZGAKWSA-N	C[C@H]1CCOC[C@]1(C)O	C7H14O2	AlkEthOH_r1014
488	BONHKCQIMVZXBV-LURJTMIESA-N	CC1(C[C@H](CCO1)O)C	C7H14O2	AlkEthOH_r239
489	HMNZROFMBSUMAB-ZCFIWIBFSA-N	CCC[C@H](O)OCC	C6H14O2	AlkEthOH_c1117
490	SEKSWDGNGZWLDU-UHFFFAOYSA-N	CC1(CCCCC1(C)C)C	C10H20	AlkEthOH_r337
491	BQTOBPHMUYSXSV-JTQLQIEISA-N	C[C@@]1(CC(CCCOC1)(C)C)O	C10H20O2	AlkEthOH_r479
492	HXOVAKFPZAHQQZ-ZCFIWIBFSA-N	C[C@H](CC(C)(C)O)CO	C7H16O2	AlkEthOH_c624
493	BOBYQFFCQPQLOB-ZETCQYMHSA-N	C[C@@H](C(C)(C)C(C)C)O	C8H18O	AlkEthOH_c276
494	XLFKRHLEEAVKBO-SNVBAGLBSA-N	C[C@]1(OCCCCCC(O1)(C)C)O	C10H20O3	AlkEthOH_r396
495	VUGYKLUUDQEEJG-UHFFFAOYSA-N	CC1(CCCCCC(O1)(C)C)C	C11H22O	AlkEthOH_r349
496	XNOGONRNEMKHIO-UHFFFAOYSA-N	CC1(CCCC(O1)(C)C)C	C9H18O	AlkEthOH_r315
497	UXCUJYHEGOICFQ-YUMQZZPRSA-N	C[C@H]1CCCCO[C@]1(C)O	C8H16O2	AlkEthOH_r935
498	PDYLVJBMQARFPN-SFYZADRCSA-N	C[C@@H]1CCCCO[C@H]1C	C8H16O	AlkEthOH_r936
499	IEJKZASACVMGIR-PHDIDXHHSA-N	C[C@@H]1CCO[C@@](O1)(C)O	C6H12O3	AlkEthOH_r996
500	RSLLLJWHUVGJPC-ZETCQYMHSA-N	C[C@@H](COC)C(C)C	C7H16O	AlkEthOH_c326
501	CZDPFGFJSJICDP-RQJHMYQMSA-N	C[C@]1(C[C@@H](CCCO1)O)O	C7H14O3	AlkEthOH_r234
502	BMYPFHOIDSQBLH-MRVPVSSYSA-N	C[C@]1(COCCC1(C)C)O	C8H16O2	AlkEthOH_r539
503	OBXDFSZAFCFISN-QMMMGPOBSA-N	C1CCCOC[C@H](CC1)O	C8H16O2	AlkEthOH_r67
504	OGYMUQSJNNPKAD-SCSAIBSYSA-N	CC(C)(O)O[C@H](O)OCO	C5H12O5	AlkEthOH_c251
505	LJPSJWIRGIVBCC-SCSAIBSYSA-N	C[C@@](O)(OC)OCO	C4H10O4	AlkEthOH_c811
506	FSZAQFLRABMWAQ-LURJTMIESA-N	C[C@@H](C(C)(C)OC(C)(C)O)O	C8H18O3	AlkEthOH_c68
507	JWGFNOPYKPMLSZ-SSDOTTSWSA-N	CCC[C@](C)(O)OCC	C7H16O2	AlkEthOH_c1068
508	POWFRZFDXPVABI-HTQZYQBOSA-N	C[C@H](C[C@@H](CC(C)C)O)O	C8H18O2	AlkEthOH_c437
509	PNKOSUMBMGVBPO-SSDOTTSWSA-N	C[C@@H]1CCCC(O1)(C)C	C8H16O	AlkEthOH_r854
510	SFJPVVHVBDYRFD-JGVFFNPUSA-N	C[C@H]1CCCCCO[C@H]1O	C8H16O2	AlkEthOH_r920
511	KHCRYZBFFWBCMJ-IUYQGCFVSA-N	C[C@H]1[C@@H](CO1)O	C4H8O2	AlkEthOH_r756
512	UTGYCLPHWBOHKM-LURJTMIESA-N	CC1(CCOC[C@H](O1)O)C	C7H14O3	AlkEthOH_r536
513	HNFHCKJEOYIWQA-WHFBIAKZSA-N	C1CO[C@@H]([C@H](CO1)O)O	C5H10O4	AlkEthOH_r116
514	YRDZJWZHGKDMBL-RNFRBKRXSA-N	C[C@H](C[C@H](C(C)C)O)O	C7H16O2	AlkEthOH_c339
515	QQDWLGFKEWRPCO-HTQZYQBOSA-N	C[C@@H]1CCCOC[C@H]1C	C8H16O	AlkEthOH_r981
516	LRYVZKLJWWFDCN-YUMQZZPRSA-N	C[C@H]1[C@@](OCCCCO1)(C)O	C8H16O3	AlkEthOH_r764
517	SKIKWYMNQLOTQO-RNFRBKRXSA-N	C[C@H](CCO)C[C@@H](C)O	C7H16O2	AlkEthOH_c739
518	BXLPZZXENCPMLX-SNVBAGLBSA-N	C[C@@H]1CCCCCOC(C1)(C)C	C11H22O	AlkEthOH_r908
519	IOMHEFJNPZANMF-ZETCQYMHSA-N	C[C@@H](CCCC(C)(C)O)O	C8H18O2	AlkEthOH_c710
520	WQIZGUCBHBOKCG-POYBYMJQSA-N	C[C@@H](C[C@](C)(O)OC(C)(C)O)O	C8H18O4	AlkEthOH_c651
521	HWTOVHRDRBZMEN-BQBZGAKWSA-N	C[C@@H](C[C@@H](O)OC(C)C)O	C7H16O3	AlkEthOH_c566
522	MERHHPMHZQSQBA-RFZPGFLSSA-N	C[C@H](O)O[C@](C)(O)OC	C5H12O4	AlkEthOH_c852
523	JMWWVDRGYVDLSL-PHDIDXHHSA-N	C[C@H](O)O[C@](C)(COC)O	C6H14O4	AlkEthOH_c850
524	CJEUNYZUSJUWNP-UWVGGRQHSA-N	C[C@H]1CCCCC[C@](C1)(C)O	C10H20O	AlkEthOH_r877
525	KWVUYJRSHMXAJU-LURJTMIESA-N	CC(C)(C)O[C@@H](CCO)O	C7H16O3	AlkEthOH_c186
526	DBTGFWMBFZBBEF-UHFFFAOYSA-N	CC(C)(CC(C)(C)O)O	C7H16O2	AlkEthOH_c193
527	VVUADJHBSAACMK-RQJHMYQMSA-N	C[C@@H]1C[C@H](OCCOC1)O	C7H14O3	AlkEthOH_r831
528	MJYNUKHSMPAOIE-HTQZYQBOSA-N	C[C@@H]1CCCO[C@@H](C1)C	C8H16O	AlkEthOH_r959
529	MDPQHLRVFQBBOH-ZETCQYMHSA-N	C[C@@H](O)OCCC(C)(C)C	C8H18O2	AlkEthOH_c886
530	FZZHIBVEGOSTNX-SECBINFHSA-N	C[C@H](CC(C)C)OC(C)C	C9H20O	AlkEthOH_c429
531	UMVIUWQZNBFXMG-RNFRBKRXSA-N	C[C@H]([C@@H](C)OC(C)C)O	C7H16O2	AlkEthOH_c544
532	YCICXFIRAMLYDV-UHFFFAOYSA-N	CC1(CCCCCCC1)O	C9H18O	AlkEthOH_r375
533	CUICNQSIBDRNNY-UHFFFAOYSA-N	CC(C)OC(C)(C)OC(C)(C)C	C10H22O2	AlkEthOH_c516
534	BPCRULCBIBVMEU-SSDOTTSWSA-N	C[C@]1(CC(OC1)(C)C)O	C7H14O2	AlkEthOH_r247
535	GLOBUAZSRIOKLN-RXMQYKEDSA-N	C[C@H](CCCO)O	C5H12O2	AlkEthOH_c717
536	IDFQTRGJTOMEBT-SSDOTTSWSA-N	C[C@@H]1COCCC1(C)C	C8H16O	AlkEthOH_r1064
537	NHWRCBZOTAPCAL-QWRGUYRKSA-N	C[C@H]1CCCCCC[C@@H](C1)C	C11H22	AlkEthOH_r891
538	LLTAZQUKZWTPSY-JGVFFNPUSA-N	C[C@H]1CCCOC[C@@H](C1)O	C8H16O2	AlkEthOH_r973
539	UOHAUFPAPLUYQY-HTQZYQBOSA-N	C[C@]1(C[C@@H](OCCCOC1)O)O	C8H16O4	AlkEthOH_r275
540	QIFFEEMSWQPGTL-UHFFFAOYSA-N	CC1(COCCCOC1(C)C)C	C10H20O2	AlkEthOH_r642
541	XSOHBXYMUVHBMB-LURJTMIESA-N	CCC(C)(C)O[C@@H](C)O	C7H16O2	AlkEthOH_c937
542	GMBOXSYSOOOROL-UHFFFAOYSA-N	CC(C)OC(C)(C)OC(C)C	C9H20O2	AlkEthOH_c519
543	NUUHRHJXCWQVAN-HTQZYQBOSA-N	C[C@]1(COCCCC[C@H]1O)O	C8H16O3	AlkEthOH_r626
544	CQXXLCCNFZJGOO-QWWZWVQMSA-N	C[C@@H]1C[C@@H](O1)O	C4H8O2	AlkEthOH_r811
545	ZSGZUIKWTNUZRS-RFZPGFLSSA-N	C[C@H]([C@H](C(C)(C)O)O)O	C6H14O3	AlkEthOH_c40
546	JVMYWAYLEMWAQE-JGVFFNPUSA-N	C[C@H]1COCCC[C@@]1(C)O	C8H16O2	AlkEthOH_r1071
547	ATIXAWKTRSBKHM-UHFFFAOYSA-N	CC1(CCOCCO1)C	C7H14O2	AlkEthOH_r564
548	IDOXNSQWBTZMIR-SSDOTTSWSA-N	CC1(CCCO[C@H](C1)O)C	C8H16O2	AlkEthOH_r464
549	BWZOLBCRIWPUMU-UHFFFAOYSA-N	CC1CCCOCCC1	C8H16O	AlkEthOH_r983
550	CNSRWXQAVZQZJZ-SFYZADRCSA-N	C[C@]1(CCCCCO[C@H](O1)O)O	C8H16O4	AlkEthOH_r399
551	QZMWHOONBZWJIL-SVRRBLITSA-N	C[C@H](O)O[C@](C)(O)OC(C)(C)C	C8H18O4	AlkEthOH_c853
552	OOOAISHHBKBJOO-DTWKUNHWSA-N	C[C@@]1(CCCCO[C@@](C1)(C)O)O	C9H18O3	AlkEthOH_r417
553	TZUIIMJDQOUTPD-QMMMGPOBSA-N	C[C@H]1CC(OCCOC1)(C)C	C9H18O2	AlkEthOH_r828
554	KVZJLSYJROEPSQ-HTQZYQBOSA-N	C[C@@H]1CCCC[C@H]1C	C8H16	AlkEthOH_r874
555	BSIDQFBQYPRFIZ-JGVFFNPUSA-N	C[C@@H](O)O[C@](C)(CC(C)C)O	C8H18O3	AlkEthOH_c405
556	KZUBXUKRWLMPIO-RQJHMYQMSA-N	CC[C@@H](C)C[C@H](C)O	C7H16O	AlkEthOH_c973
557	PQRZRGANCFNSRZ-RXMQYKEDSA-N	C1COCOC[C@@H]1O	C5H10O3	AlkEthOH_r164
558	HITGHMMWEOORFQ-SECBINFHSA-N	C[C@]1(CCOCCC1(C)C)O	C9H18O2	AlkEthOH_r556
559	REXBXFDLXWXPMD-JTQLQIEISA-N	C[C@H]1CC(CCCCOC1)(C)C	C11H22O	AlkEthOH_r781
560	WREFCRTWWZFBHW-YFKPBYRVSA-N	CCO[C@@H](C(C)(C)O)O	C6H14O3	AlkEthOH_c1165
561	UBYMBUCIXRDZSL-SSDOTTSWSA-N	C[C@@]1(COCCCCO1)O	C7H14O3	AlkEthOH_r630
562	LCOIDVFVHWYYQF-YFKPBYRVSA-N	C[C@H]1OCC(O1)(C)C	C6H12O2	AlkEthOH_r1112
563	NONFFUDNIJCNAN-ZCFIWIBFSA-N	C[C@@H]1C(OCCO1)(C)C	C7H14O2	AlkEthOH_r767
564	QSVYJSJPLCSACO-UHFFFAOYSA-N	CC(C)CC(C)(CC(C)C)O	C10H22O	AlkEthOH_c393
565	BWNCMIZLXMWFJN-ZCFIWIBFSA-N	CCO[C@](C)(COC)O	C6H14O3	AlkEthOH_c1210
566	APUWSCYMUDHWSI-SNVBAGLBSA-N	C[C@]1(CCCCOCC1(C)C)O	C10H20O2	AlkEthOH_r624
567	ZPDIRKNRUWXYLJ-UHFFFAOYSA-N	CC1(CCCO1)C	C6H12O	AlkEthOH_r459
568	YNIYGUNRBWFVMB-RFZPGFLSSA-N	C[C@@]1(CC[C@@H](O1)O)O	C5H10O3	AlkEthOH_r302
569	VWAJTYMOFRIGJU-BYPYZUCNSA-N	COC[C@@H](O)OCO	C4H10O4	AlkEthOH_c1293
570	HLWCPAJEXXTJHY-UHFFFAOYSA-N	CC(C)C(C)(C)C(C)(C)O	C9H20O	AlkEthOH_c273
571	GFTPTQVIOIDDRL-ZCFIWIBFSA-N	C[C@@](CO)(C(C)(C)O)O	C6H14O3	AlkEthOH_c131
572	CVEWSZALSLGZAU-HTQZYQBOSA-N	C[C@@H]1CCCCC[C@H]1O	C8H16O	AlkEthOH_r888
573	UAZDHWDGUXBBGQ-UHFFFAOYSA-N	CCCC(C)(C)C(C)(C)O	C9H20O	AlkEthOH_c1023
574	PUAFMKIILBUKFX-UHFFFAOYSA-N	CCCC(C)(C)OC(C)(C)O	C9H20O2	AlkEthOH_c1042
575	YLHIBISQOZFIIW-UHFFFAOYSA-N	C(O)OC(O)OCO	C3H8O5	AlkEthOH_c36
576	HUZJBGQIKPVLRU-UHFFFAOYSA-N	CC(C)OCOC	C5H12O2	AlkEthOH_c594
577	YMNJIYXOCTXGIK-RITPCOANSA-N	C[C@]1(COCCO[C@H](O1)O)O	C6H12O5	AlkEthOH_r657
578	QNVJKKPTAINNEB-ZETCQYMHSA-N	C[C@]1(CCOC(O1)(C)C)O	C7H14O3	AlkEthOH_r684
579	OSWBUDBIGVELSK-ZCFIWIBFSA-N	CC1(OCCOC[C@@H](O1)O)C	C7H14O4	AlkEthOH_r728
580	IJDNQMDRQITEOD-UHFFFAOYSA-N	CCCC	C4H10	AlkEthOH_c1008
581	GNRIMCFAWSDESG-SSDOTTSWSA-N	C1CCOC[C@@H](OCC1)O	C7H14O3	AlkEthOH_r92
582	QCNNSLQDIKESII-SFYZADRCSA-N	C[C@@]1(CCCCCO[C@H]1O)O	C8H16O3	AlkEthOH_r406
583	UCLXUUYVWJKXIK-QMMMGPOBSA-N	CC(C)C[C@@H](C(C)(C)C)O	C9H20O	AlkEthOH_c353
584	CAQYAZNFWDDMIT-UHFFFAOYSA-N	CCOCCOC	C5H12O2	AlkEthOH_c1281
585	ZRCRAZUEBCFETN-UHFFFAOYSA-N	CC1OCO1	C3H6O2	AlkEthOH_r1152
586	BODRLKRKPXBDBN-MRVPVSSYSA-N	C[C@H](CCO)CC(C)(C)C	C9H20O	AlkEthOH_c736
587	ZHRPLMJYSXTWDS-UHFFFAOYSA-N	CC1(OCCCCO1)C	C7H14O2	AlkEthOH_r702
588	CAKGAPKVYDUGTC-SSDOTTSWSA-N	CCO[C@@](C)(O)OC(C)(C)O	C7H16O4	AlkEthOH_c1214
589	XQWUVURKGQJCFF-RQJHMYQMSA-N	C[C@@H]1CCCC[C@H](O1)O	C7H14O2	AlkEthOH_r870
590	QPXRFSHEEWSCOM-XVMARJQXSA-N	C[C@@H](C[C@@](C)([C@@H](C)O)O)O	C7H16O3	AlkEthOH_c603
591	FXBRJGRVNPYPMI-BQBZGAKWSA-N	C[C@H]1COCCO[C@](O1)(C)O	C7H14O4	AlkEthOH_r1096
592	QVTSXPLFZYTGMW-UHFFFAOYSA-N	CC1(CCCCCCCO1)C	C10H20O	AlkEthOH_r380
593	AEMWKGGBEIAOML-RNFRBKRXSA-N	C[C@@H]1COCCCO[C@H](O1)O	C7H14O4	AlkEthOH_r1087
594	NOFQKTWPZFUCOO-UHFFFAOYSA-N	CC(C)CC(C)(C)CC(C)(C)C	C12H26	AlkEthOH_c372
595	RMWURNJGMONCMJ-VIFPVBQESA-N	C[C@H]1CC(OCCCOC1)(C)C	C10H20O2	AlkEthOH_r820
596	HIRPIVWCKRYKFT-SCSAIBSYSA-N	CCO[C@@H](O)OCO	C4H10O4	AlkEthOH_c1265
597	GCXZXLYFXWNVSA-SECBINFHSA-N	C[C@@]1(CCOCCC(O1)(C)C)O	C9H18O3	AlkEthOH_r551
598	NNWVHCSDLLSQAA-BDAKNGLRSA-N	C[C@]1(CCCCCO[C@]1(C)O)O	C9H18O3	AlkEthOH_r402
599	YWBIGEHKHAZPPR-RKDXNWHRSA-N	C[C@@H]1C[C@@H](CCCCCO1)O	C9H18O2	AlkEthOH_r777
600	GFDHVFJSBUJFED-NKWVEPMBSA-N	C[C@]1(CCOC[C@H](C1)O)O	C7H14O3	AlkEthOH_r532
601	GDSQQCXFACBLDG-MRVPVSSYSA-N	C[C@H](CC(C)C)COC	C8H18O	AlkEthOH_c423
602	OZLBECIOXQDCMB-ZCFIWIBFSA-N	CC(C)(C[C@@H](CCO)O)O	C7H16O3	AlkEthOH_c201
603	BARFACQYNCHAOK-SSDOTTSWSA-N	C[C@H](O)OC(C)(C)OC(C)C	C8H18O3	AlkEthOH_c520
604	JQFZWBZEZYOCQL-UHFFFAOYSA-N	CC(C)C(C)(C)CC(C)(C)C	C11H24	AlkEthOH_c278
605	KVSRLKUCVICQBX-UHFFFAOYSA-N	CC(C)(CC(C)(C)OCO)O	C8H18O3	AlkEthOH_c194
606	IDPDFGTXJVEQLT-JTQLQIEISA-N	C[C@H]1CCCCCCC(O1)(C)C	C11H22O	AlkEthOH_r893
607	ZFFMLCVRJBZUDZ-UHFFFAOYSA-N	CC(C)C(C)C	C6H14	AlkEthOH_c312
608	GVTBLKBLQBJGTA-VIFPVBQESA-N	C[C@](CCO)(CC(C)(C)C)O	C9H20O2	AlkEthOH_c159
609	AKMSMTVGBKJCSL-RNFRBKRXSA-N	C[C@@H]1C[C@@H](CCCO1)O	C7H14O2	AlkEthOH_r786
610	UQKUILRKFGEXRX-RNFRBKRXSA-N	C[C@@H]1CCCOC[C@@H](O1)O	C7H14O3	AlkEthOH_r977
611	CWOCXSLYYAPBAD-WHFBIAKZSA-N	C[C@@H](C[C@@H](O)OC)O	C5H12O3	AlkEthOH_c701
612	YOFXLPJNIQEQKK-SSDOTTSWSA-N	CC1(CCOC[C@@H](C1)O)C	C8H16O2	AlkEthOH_r531
613	CAIQYQIVYWNCAA-MRVPVSSYSA-N	C[C@]1(CCCCCOC1)O	C8H16O2	AlkEthOH_r404
614	DYPPWXOVYLOBFG-MRVPVSSYSA-N	CCC[C@](C)(O)OC(C)C	C8H18O2	AlkEthOH_c1065
615	QKFKROULLRFXMV-ZCFIWIBFSA-N	CC1(CC[C@H](C1)O)C	C7H14O	AlkEthOH_r296
616	XCTVTCALBXLITL-LURJTMIESA-N	CC[C@@H](CC(C)(C)O)O	C7H16O2	AlkEthOH_c989
617	FWNXUAMLEZAFAX-YFKPBYRVSA-N	CC1(CCO[C@@H](O1)O)C	C6H12O3	AlkEthOH_r519
618	XSBMFHOBJKGGPK-JGVFFNPUSA-N	C1CCOC[C@@H](C[C@H](C1)O)O	C8H16O3	AlkEthOH_r89
619	KVCMBDOASFQAJR-SSDOTTSWSA-N	CCC[C@@H](C)OC(C)(C)O	C8H18O2	AlkEthOH_c1091
620	WSJHVFRHJYXQCP-QMMMGPOBSA-N	C[C@@]1(CCC(C1)(C)C)O	C8H16O	AlkEthOH_r294
621	BZLVMXJERCGZMT-UHFFFAOYSA-N	CC(C)(C)OC	C5H12O	AlkEthOH_c176
622	YBGBTUGNSNHBCP-SSDOTTSWSA-N	C[C@H](COC)OC(C)C	C7H16O2	AlkEthOH_c553
