	InChI_keys	SMILES_strings	Molecular_formulas	AlkEthOH_ID
88	ITJMTQTZSQARQI-UHFFFAOYSA-N	CC(C)CC(C)(C)OC(C)(C)C	C11H24O	AlkEthOH_c383
89	FCUOIGTWJDBTHR-LURJTMIESA-N	CCC(C)(C)[C@H](C)O	C7H16O	AlkEthOH_c919
90	POGKYQLLYNYQRJ-UHFFFAOYSA-N	CC(C)(O)OCCO	C5H12O3	AlkEthOH_c252
91	JVVACFLCUYDWAS-ZETCQYMHSA-N	C[C@H]1CCOCOC(O1)(C)C	C8H16O3	AlkEthOH_r1039
92	RXRMDNZCKRVZNN-UHFFFAOYSA-N	CC(C)(C)OC(C)(C)CCO	C9H20O2	AlkEthOH_c178
93	ZVKQNIUBLJYSGN-VIFPVBQESA-N	CC(C)C[C@@](C)(C(C)C)O	C9H20O	AlkEthOH_c362
94	OMMLUKLXGSRPHK-UHFFFAOYSA-N	CC(C)(C)C(C)(C)C	C8H18	AlkEthOH_c141
95	AUKWQKRAEANQBC-ZETCQYMHSA-N	C[C@@H](C(C)(C)OC(C)C)O	C8H18O2	AlkEthOH_c504
96	GCRBWAALASBKMU-UHFFFAOYSA-N	CC(C)CC(C)(C)OC(C)C	C10H22O	AlkEthOH_c386
97	BMHITHAPFRCQOL-RITPCOANSA-N	C[C@@H]1CCO[C@]1(C)O	C6H12O2	AlkEthOH_r1001
98	BMRWNKZVCUKKSR-SCSAIBSYSA-N	CC[C@H](CO)O	C4H10O2	AlkEthOH_c996
99	UDLSLDPRJVPDNC-UHFFFAOYSA-N	CC(C)(C)CC(C)(C)CO	C9H20O	AlkEthOH_c156
100	UPCIOVUTUKQLJE-UHFFFAOYSA-N	CC1(CCCCCC(C1)(C)C)C	C12H24	AlkEthOH_r344
101	WERYXYBDKMZEQL-UHFFFAOYSA-N	C(CCO)CO	C4H10O2	AlkEthOH_c14
102	IASYGZYNAOZBMU-WDSKDSINSA-N	C[C@@H](C(C)(C)O)O[C@@H](C)O	C7H16O3	AlkEthOH_c65
103	RLWZLUMVYJIZDH-JTQLQIEISA-N	C[C@]1(CC(OCCCCO1)(C)C)O	C10H20O3	AlkEthOH_r267
104	LTTNSSUBWZAKJH-MRVPVSSYSA-N	C[C@]1(CCCC1(C)C)O	C8H16O	AlkEthOH_r321
105	MONXYDYGEQUUOZ-SNVBAGLBSA-N	C[C@@H]1CCCCOCC(C1)(C)C	C11H22O	AlkEthOH_r938
106	AMQHWNSSDKWSSP-RFZPGFLSSA-N	C[C@H](C[C@H](O)OCO)O	C5H12O4	AlkEthOH_c703
107	PMORVUNYTOZCSE-XVMARJQXSA-N	C[C@@H](C[C@@H](C)O)[C@H](C)O	C7H16O2	AlkEthOH_c661
108	BOOAZAOOEZYBPU-HTRCEHHLSA-N	C[C@H]([C@](C)(O)OC(C)(C)C)O	C8H18O3	AlkEthOH_c85
109	MDQVJKCLARIEEH-UHFFFAOYSA-N	CC1OCCCCCO1	C7H14O2	AlkEthOH_r1128
110	YMJHNVCDKODNDN-RXMQYKEDSA-N	C[C@H](OCO)OC(C)(C)O	C6H14O4	AlkEthOH_c897
111	VOKGFHDGGQEUML-QMMMGPOBSA-N	CCO[C@@H](C)CC(C)(C)C	C9H20O	AlkEthOH_c1228
112	PEDCQBHIVMGVHV-UHFFFAOYSA-N	C(C(CO)O)O	C3H8O3	AlkEthOH_c3
113	AULUDJRRNHDTJI-UHFFFAOYSA-N	CC1(CCCC(C1)(C)C)C	C10H20	AlkEthOH_r310
114	PBEROQUTFUAVJP-MRVPVSSYSA-N	C[C@H](CC(C)(C)OC(C)C)O	C9H20O2	AlkEthOH_c509
115	BKLIQKSKQAZMOS-RFZPGFLSSA-N	C[C@H](O)O[C@H](COC)O	C5H12O4	AlkEthOH_c873
